"meandeg","meanduration","nodes","act","transmission","recovery","infected","recovered","sims","proportion","peak.inf","shortprop","concurrency"
1,70,900,9.6,0.05,0.05,1,0,10,0,51,0,"40%"
1,80,900,9.6,0.05,0.05,1,0,10,0,56,0,"40%"
1,90,900,9.6,0.05,0.05,1,0,10,0,65,0,"40%"
1,100,900,9.6,0.05,0.05,1,0,10,0,21,0,"40%"
1,10,1000,9.6,0.05,0.05,1,0,10,0.5,267,0.5,"40%"
1,20,1000,9.6,0.05,0.05,1,0,10,0.8,216,0.1,"40%"
1,30,1000,9.6,0.05,0.05,1,0,10,0.6,163,0,"40%"
1,40,1000,9.6,0.05,0.05,1,0,10,0,85,0,"40%"
1,50,1000,9.6,0.05,0.05,1,0,10,0,95,0,"40%"
1,60,1000,9.6,0.05,0.05,1,0,10,0,17,0,"40%"
1,70,1000,9.6,0.05,0.05,1,0,10,0,58,0,"40%"
1,80,1000,9.6,0.05,0.05,1,0,10,0,63,0,"40%"
1,90,1000,9.6,0.05,0.05,1,0,10,0,10,0,"40%"
1,100,1000,9.6,0.05,0.05,1,0,10,0,33,0,"40%"
