"meandeg","meanduration","nodes","act","transmission","recovery","infected","recovered","sims","proportion","peak.inf","shortprop","concurrency"
1,10,100,9.6,0.05,0.05,1,0,10,0.6,43,0.5,"25%"
1,20,100,9.6,0.05,0.05,1,0,10,0.3,31,0.2,"25%"
1,30,100,9.6,0.05,0.05,1,0,10,0.3,23,0.1,"25%"
1,40,100,9.6,0.05,0.05,1,0,10,0.3,28,0.1,"25%"
1,50,100,9.6,0.05,0.05,1,0,10,0.1,20,0,"25%"
1,60,100,9.6,0.05,0.05,1,0,10,0,11,0,"25%"
1,70,100,9.6,0.05,0.05,1,0,10,0.1,24,0.1,"25%"
1,80,100,9.6,0.05,0.05,1,0,10,0,6,0,"25%"
1,90,100,9.6,0.05,0.05,1,0,10,0,6,0,"25%"
1,100,100,9.6,0.05,0.05,1,0,10,0,29,0.2,"25%"
1,10,200,9.6,0.05,0.05,1,0,10,0.5,68,0.5,"25%"
1,20,200,9.6,0.05,0.05,1,0,10,0.3,41,0.1,"25%"
1,30,200,9.6,0.05,0.05,1,0,10,0.3,45,0.1,"25%"
1,40,200,9.6,0.05,0.05,1,0,10,0,17,0,"25%"
1,50,200,9.6,0.05,0.05,1,0,10,0,16,0,"25%"
1,60,200,9.6,0.05,0.05,1,0,10,0,26,0,"25%"
1,70,200,9.6,0.05,0.05,1,0,10,0,38,0,"25%"
1,80,200,9.6,0.05,0.05,1,0,10,0,26,0,"25%"
1,90,200,9.6,0.05,0.05,1,0,10,0,27,0,"25%"
1,100,200,9.6,0.05,0.05,1,0,10,0,37,0,"25%"
1,10,300,9.6,0.05,0.05,1,0,10,0.9,93,0.7,"25%"
1,20,300,9.6,0.05,0.05,1,0,10,0,51,0,"25%"
1,30,300,9.6,0.05,0.05,1,0,10,0.4,65,0.1,"25%"
1,40,300,9.6,0.05,0.05,1,0,10,0.1,57,0,"25%"
1,50,300,9.6,0.05,0.05,1,0,10,0,54,0,"25%"
1,60,300,9.6,0.05,0.05,1,0,10,0,34,0,"25%"
